avg_login_interval_days,duration_of_use_minutes,failed_tests_count,progress_rate,abandoned
28.85,19.9,8,0.245,1
33.38,329.5,18,0.422,1
22.84,20.8,6,0.716,1
20.32,170.5,0,0.759,0
12.65,133.1,24,0.337,1
38.17,364.2,25,0.043,1
41.52,51.9,9,0.829,0
26.07,424.2,1,0.661,0
38.52,520.6,12,0.278,1
16.78,129.7,8,0.702,1
28.65,322.8,7,0.163,0
28.87,336.4,21,0.324,1
37.02,484.0,12,0.268,0
39.46,192.2,20,0.499,1
6.6,88.1,23,0.561,1
40.42,242.6,7,0.997,0
34.06,517.4,4,0.627,0
3.05,232.1,14,0.529,0
0.71,433.8,21,0.885,0
15.44,179.6,5,0.454,0
12.0,302.8,5,0.508,0
37.91,307.1,6,0.153,1
35.08,320.6,0,0.599,1
16.46,591.3,25,0.308,0
42.62,56.0,15,0.816,1
5.83,397.6,17,0.165,0
43.4,557.7,24,0.73,1
44.78,391.7,14,0.9,1
3.07,17.5,17,0.23,1
28.47,141.2,1,0.86,0
30.17,132.5,4,0.723,0
11.09,286.4,13,0.19,1
19.18,282.9,23,0.054,1
2.92,438.3,25,0.862,1
20.3,256.0,8,0.463,1
36.4,514.3,3,0.051,0
43.61,556.2,7,0.166,1
18.17,39.9,12,0.002,0
35.37,174.7,22,0.957,1
32.38,97.1,9,0.218,1
2.93,191.6,1,0.584,0
7.25,576.7,2,0.851,0
38.81,245.2,18,0.246,1
18.98,352.3,16,0.316,0
14.28,163.0,4,0.672,0
33.88,48.2,14,0.621,1
24.29,306.0,4,0.933,0
16.75,98.9,17,0.704,0
29.5,9.7,17,0.299,1
6.22,73.7,3,0.742,0
9.64,209.0,21,0.634,1
40.76,508.4,2,0.634,1
15.14,82.8,8,0.162,0
25.33,71.6,22,0.904,1
26.3,93.1,4,0.042,0
43.75,28.7,11,0.21,1
35.15,531.1,13,0.974,0
10.81,101.7,25,0.811,1
33.2,202.7,13,0.802,0
12.15,473.5,3,0.383,0
9.14,551.5,11,0.305,0
1.26,119.9,10,0.279,0
15.93,308.1,21,0.981,0
5.37,582.4,5,0.581,0
26.93,210.7,25,0.314,1
17.46,348.1,8,0.044,0
36.33,413.7,23,0.737,1
42.71,552.9,19,0.314,1
13.65,189.0,13,0.326,1
8.79,400.6,12,0.677,0
13.68,331.0,0,0.304,0
27.38,196.7,14,0.442,1
40.57,478.6,5,0.659,0
27.94,60.6,24,0.235,1
6.8,32.5,15,0.611,1
39.9,347.5,22,0.696,1
29.59,8.3,24,0.86,1
10.0,483.4,22,0.518,1
38.21,276.6,25,0.465,1
14.41,454.4,14,0.613,0
37.41,331.0,5,0.744,1
11.28,384.4,24,0.778,1
19.91,429.6,7,0.272,0
6.4,142.6,22,0.153,1
15.02,282.2,1,0.207,0
26.37,418.8,24,0.576,0
13.58,237.0,13,0.538,0
40.42,295.5,8,0.436,1
30.63,245.6,5,0.841,0
24.13,544.6,18,0.564,0
6.28,279.7,1,0.26,0
15.32,528.4,8,0.752,0
3.87,16.5,17,0.052,1
3.27,574.6,1,0.754,0
1.11,95.7,4,0.474,0
21.03,157.5,11,0.168,1
5.33,492.5,9,0.108,0
30.55,575.1,12,0.941,0
37.41,149.5,22,0.772,1
5.62,590.4,25,0.041,0
3.29,390.3,0,0.85,0
